,update,total_updates,T,FPS,window,mean,median,min,max
0,0,244,4096,380,50,-9.175786819999999,-9.1783175,-38.289886,7.715244
1,1,244,8192,366,50,-6.8281686200000005,-5.849546,-40.227656,93.658665
2,2,244,12288,361,50,-10.44420956,-7.2897535,-51.804051,6.750579
3,3,244,16384,342,50,-7.67193644,-5.2954159999999995,-43.068359,6.520269
4,4,244,20480,349,50,-10.16643922,-8.9312215,-41.607675,7.906573
5,5,244,24576,357,50,-10.189513240000002,-9.287156,-38.816848,7.318099
6,6,244,28672,362,50,-10.407855419999999,-5.2602575,-51.845099,6.676158
7,7,244,32768,359,50,-12.96936084,-6.176902500000001,-52.557482,8.506035
8,8,244,36864,360,50,-12.810212279999998,-12.04289,-52.40129,7.260715
9,9,244,40960,361,50,-9.369699540000001,-6.320746,-44.043691,7.968119
10,10,244,45056,362,50,-14.332428679999998,-9.707086,-50.813966,7.559621
11,11,244,49152,360,50,-14.17371284,-9.875357999999999,-50.751947,7.360165
12,12,244,53248,360,50,-12.222231760000001,-5.659994,-49.886349,7.360165
13,13,244,57344,358,50,-13.04643222,-7.0782940000000005,-52.479106,7.395535
14,14,244,61440,358,50,-10.05798236,-6.7124535000000005,-44.850242,8.732672
15,15,244,65536,357,50,-11.68508826,-9.511390500000001,-52.574626,7.867354
16,16,244,69632,358,50,-12.984559380000002,-7.768950500000001,-48.194634,6.212915
17,17,244,73728,356,50,-11.2727265,-7.5284275,-46.59243,7.211857
18,18,244,77824,356,50,-12.45779618,-13.4352975,-50.399105,71.78885
19,19,244,81920,357,50,-8.3146579,-5.4919709999999995,-50.67486,6.558538
20,20,244,86016,358,50,-9.035433320000001,-5.3396065,-53.323357,7.468853
21,21,244,90112,359,50,-9.667004799999999,-9.299676,-39.101659,7.929027
22,22,244,94208,361,50,-11.815169019999999,-10.2316285,-50.139233,6.438008
23,23,244,98304,362,50,-8.561854799999999,-4.859536,-42.869263,6.712049
24,24,244,102400,363,50,-6.41420422,-4.128981,-34.678461,6.10401
25,25,244,106496,364,50,-7.914800040000001,-4.9116,-39.013151,8.128251
26,26,244,110592,364,50,-7.23893146,-5.715769,-36.870997,7.033705
27,27,244,114688,365,50,-9.92018876,-5.9660969999999995,-44.475072,7.375452
28,28,244,118784,365,50,-7.14505828,-3.8012984999999997,-39.691705,8.787155
29,29,244,122880,366,50,-11.47515362,-8.580243,-58.81558,6.701175
30,30,244,126976,367,50,-6.85436614,-4.4975825,-42.063359,8.198151
31,31,244,131072,368,50,-8.445772380000001,-6.451928499999999,-43.469273,7.871828
32,32,244,135168,368,50,-11.213008440000001,-10.491119999999999,-47.65381,6.921266
33,33,244,139264,369,50,-5.647143959999999,-2.79067,-47.573592,8.124956
34,34,244,143360,370,50,-10.7432047,-9.382268,-41.187519,6.709384
35,35,244,147456,370,50,-7.396742979999999,-8.394901,-25.969214,7.782637
36,36,244,151552,371,50,-6.3612008000000015,-3.781014,-45.034676,8.246589
37,37,244,155648,372,50,-6.47208286,-5.4845205,-29.391129,6.991375
38,38,244,159744,373,50,-7.85577058,-7.408725499999999,-42.126708,6.98001
39,39,244,163840,373,50,-7.462658879999999,-5.751761999999999,-34.343433,7.596992
40,40,244,167936,373,50,-8.24460784,-7.651851499999999,-33.987849,7.402317
41,41,244,172032,374,50,-5.77589198,-3.989834,-38.362079,7.257297
42,42,244,176128,374,50,-7.03258544,-6.118335999999999,-26.153784,7.698102
43,43,244,180224,374,50,-6.846106080000001,-7.7390455,-32.367356,7.40091
44,44,244,184320,375,50,-4.812302379999999,-5.338171,-35.284158,85.035341
45,45,244,188416,375,50,-8.36755104,-8.567473,-28.99944,6.184489
46,46,244,192512,375,50,-7.281741920000001,-5.419538,-39.358439,7.362227
47,47,244,196608,376,50,-0.21014633999999938,-4.3443855,-37.63245,92.197225
48,48,244,200704,376,50,-4.4353355400000005,-3.8858889999999997,-27.320002,90.241004
49,49,244,204800,376,50,-5.893356280000001,-5.198216,-24.043812,8.192316
50,50,244,208896,377,50,-9.1037826,-5.9540305,-40.235503,7.23095
51,51,244,212992,377,50,-3.0309007400000008,-3.969132,-22.887559,90.940022
52,52,244,217088,377,50,-5.422958219999999,-4.360972,-40.6166,7.114696
53,53,244,221184,377,50,-4.147340719999999,-4.8720490000000005,-19.892625,86.339162
54,54,244,225280,377,50,-5.0906866000000015,-3.6267595,-44.699142,7.325553
55,55,244,229376,378,50,-5.031937740000001,-4.6585995,-21.841938,7.744988
56,56,244,233472,378,50,-6.07984054,-4.8023869999999995,-33.179399,7.460115
57,57,244,237568,378,50,-3.8723704600000004,-4.735335,-37.468866,89.772241
58,58,244,241664,378,50,-5.277311359999999,-4.774519,-37.972811,86.237535
59,59,244,245760,378,50,-6.0453634,-4.398944,-27.628128,7.692577
60,60,244,249856,378,50,-5.605257679999999,-5.4663895,-24.273831,8.052262
61,61,244,253952,378,50,-5.59594422,-4.687530499999999,-31.144338,7.403316
62,62,244,258048,379,50,-5.961700760000001,-5.2444105,-24.684652,6.717814
63,63,244,262144,378,50,-7.6598017,-7.2241695,-29.36578,7.264482
64,64,244,266240,378,50,-3.65067808,-2.0368364999999997,-21.053949,7.640416
65,65,244,270336,379,50,-3.559004540000001,-3.3639315,-26.609418,82.4138
66,66,244,274432,379,50,-5.250116960000001,-4.9595815000000005,-21.842598,7.604648
67,67,244,278528,379,50,-6.595342380000001,-5.540334,-26.958551,7.070163
68,68,244,282624,379,50,-5.5268547,-5.5265629999999994,-20.701939,8.182741
69,69,244,286720,380,50,-5.8825537,-6.2251864999999995,-26.29166,6.558882
70,70,244,290816,380,50,-6.574634140000001,-6.7692429999999995,-21.021986,7.484959
71,71,244,294912,380,50,-3.6095058999999994,-4.293801,-22.449015,92.514869
72,72,244,299008,380,50,-6.034099739999999,-5.4650165,-24.551151,7.378779
73,73,244,303104,380,50,-3.4653368999999996,-1.7404525,-24.736279,7.344937
74,74,244,307200,380,50,-7.3104901600000005,-8.4750645,-22.753556,6.340526
75,75,244,311296,380,50,-5.5130113199999995,-3.8631409999999997,-21.068839,7.9099
76,76,244,315392,381,50,-5.633802960000001,-3.8824755,-27.575886,8.070331
77,77,244,319488,381,50,-5.010405940000001,-3.6523345000000003,-33.183642,7.572576
78,78,244,323584,381,50,-1.93156748,-2.8339225,-29.51978,99.54142
79,79,244,327680,381,50,-0.2963953199999998,-4.468676,-19.067474,91.652707
80,80,244,331776,381,50,-3.51012444,-3.5937905,-19.250916,8.137546
81,81,244,335872,381,50,-3.9429065000000003,-3.6445335,-22.202627,7.622812
82,82,244,339968,381,50,-5.620692259999999,-5.490232,-31.671432,7.531537
83,83,244,344064,382,50,-5.471989380000001,-5.6056945,-24.816414,7.294234
84,84,244,348160,382,50,-6.4591257199999985,-5.99287,-25.354993,7.778923
85,85,244,352256,382,50,-6.018783820000001,-4.519191,-24.601583,7.84011
86,86,244,356352,382,50,-4.07859396,-2.2424725,-26.008391,8.56053
87,87,244,360448,382,50,-7.118289460000001,-7.0982105,-23.840375,7.252532
88,88,244,364544,382,50,-4.999326140000001,-4.118043,-19.463872,7.068677
89,89,244,368640,382,50,-6.446244699999999,-4.353199,-20.029711,7.31556
90,90,244,372736,382,50,-4.6613168400000005,-3.0926264999999997,-20.932256,7.961231
91,91,244,376832,382,50,-5.14405356,-4.248478,-20.848415,8.177621
92,92,244,380928,382,50,-5.4810761600000015,-4.5196565,-37.768957,7.147975
93,93,244,385024,382,50,-6.78694858,-6.2787725000000005,-31.868195,7.653302
94,94,244,389120,382,50,-5.7524108,-6.7774485,-25.539843,7.831548
95,95,244,393216,382,50,-5.15145516,-5.4237415,-20.650173,7.783664
96,96,244,397312,382,50,-5.92925696,-6.3921174999999995,-18.464546,6.8889
97,97,244,401408,382,50,-5.466311000000001,-6.372809,-26.932302,7.842925
98,98,244,405504,383,50,-4.5572541,-4.5351215,-17.878085,8.029916
99,99,244,409600,383,50,-4.14667206,-3.5476134999999998,-23.99775,7.63465
100,100,244,413696,383,50,-5.693736,-5.8324335,-22.661852,6.783206
101,101,244,417792,383,50,-5.45207496,-5.9543215,-27.187588,7.871134
102,102,244,421888,383,50,-6.54915876,-7.5353674999999996,-27.847193,6.552857
103,103,244,425984,383,50,-3.2006255000000006,-3.8240715000000005,-24.683118,7.673531
104,104,244,430080,383,50,-3.6729483000000003,-1.759641,-16.84052,7.555539
105,105,244,434176,383,50,-4.106481,-4.2011195,-23.407321,7.320557
106,106,244,438272,383,50,-4.538760839999999,-4.390924,-19.46551,7.349571
107,107,244,442368,383,50,-3.7093224200000003,-2.0404020000000003,-14.844252,7.32423
108,108,244,446464,383,50,-4.7622722600000005,-4.17885,-25.549373,7.823956
109,109,244,450560,383,50,-3.63311552,-3.1899975,-15.844378,6.89606
110,110,244,454656,383,50,-5.53686592,-5.412992,-32.234985,7.79424
111,111,244,458752,382,50,-5.0946959199999995,-3.9500900000000003,-31.584777,7.032976
112,112,244,462848,379,50,-3.30583836,-2.6812665,-26.17976,8.305359
113,113,244,466944,379,50,-5.6474001,-4.8209409999999995,-32.916797,7.755181
114,114,244,471040,379,50,-3.80220916,-5.664080500000001,-23.297795,92.480612
115,115,244,475136,379,50,-4.858169960000001,-3.6385940000000003,-28.717062,7.958467
116,116,244,479232,379,50,-3.7727403000000006,-1.8218,-24.133344,7.109854
117,117,244,483328,379,50,-4.460887420000001,-4.126566,-22.294997,7.901339
118,118,244,487424,378,50,-2.86053732,-1.6102805,-17.625927,6.871516
119,119,244,491520,377,50,-5.494275340000001,-3.5365450000000003,-25.798855,7.056521
120,120,244,495616,376,50,-4.95870032,-3.9395675,-22.721309,7.445456
121,121,244,499712,376,50,-5.84697946,-4.8442995,-21.215414,6.586669
122,122,244,503808,376,50,-4.64902362,-4.0215745,-17.206164,7.7989
123,123,244,507904,376,50,-5.171216259999999,-5.6110755,-21.548754,7.560806
124,124,244,512000,376,50,-3.45160276,-2.24269,-30.707883,7.877491
125,125,244,516096,376,50,-4.120669660000001,-3.312182,-24.362491,6.514586
126,126,244,520192,377,50,-3.30825462,-2.2013085,-19.057255,8.478121
127,127,244,524288,377,50,-3.8890973599999996,-4.0010215,-18.436929,7.272556
128,128,244,528384,377,50,-6.2141157,-5.5945445,-24.155514,6.766004
129,129,244,532480,377,50,-4.8706543,-3.6759,-20.17229,7.62882
130,130,244,536576,377,50,-4.4083981,-4.561346,-16.655103,7.901487
131,131,244,540672,377,50,-4.0152668,-3.019016,-18.29501,8.750069
132,132,244,544768,377,50,-5.24766044,-4.3939955,-25.706887,6.607825
133,133,244,548864,377,50,-3.373965,-1.5596245,-25.288661,7.630293
134,134,244,552960,377,50,-3.669427979999999,-2.4603954999999997,-20.145358,8.119482
135,135,244,557056,377,50,-2.49782654,-1.8677579999999998,-19.418111,7.384905
136,136,244,561152,377,50,-3.01800998,-2.3464644999999997,-21.44793,7.90479
137,137,244,565248,377,50,-4.593488839999999,-3.471687,-14.586057,6.795912
138,138,244,569344,377,50,-3.01861118,-3.130004,-18.202643,8.211943
139,139,244,573440,376,50,-3.28168452,-2.9801865,-20.089489,8.313839
140,140,244,577536,376,50,-3.5434839799999995,-1.7968915,-19.108927,5.857509
141,141,244,581632,376,50,-3.88751736,-3.4798575,-16.509752,8.667649
142,142,244,585728,376,50,-3.16361734,-3.3431455,-17.671786,7.667924
143,143,244,589824,376,50,-1.6068815200000004,-1.5164235000000001,-16.821477,7.454831
144,144,244,593920,375,50,-3.43739726,-3.1062795,-18.131045,7.93293
145,145,244,598016,375,50,-3.77418006,-2.729063,-19.552966,7.115758
146,146,244,602112,375,50,-3.55141912,-2.3525644999999997,-20.455063,8.430093
147,147,244,606208,375,50,-3.6764040400000004,-2.7197135,-16.856066,6.29304
148,148,244,610304,375,50,-1.4362919600000001,-2.1131305,-17.356301,88.218351
149,149,244,614400,375,50,-3.77571668,-3.7705095,-17.445445,7.463951
150,150,244,618496,376,50,-3.89595172,-2.8159075,-16.492896,7.710502
151,151,244,622592,376,50,-3.5400023,-1.9087524999999999,-19.499657,7.854749
152,152,244,626688,376,50,-1.50735634,-2.3737424999999996,-24.068591,94.338816
153,153,244,630784,376,50,-3.29838286,-3.3998615,-17.04101,7.423819
154,154,244,634880,376,50,-3.1731706799999997,-3.024406,-16.667515,6.288565
155,155,244,638976,376,50,-3.9274755000000003,-4.4043525,-18.363392,7.111265
156,156,244,643072,376,50,-3.0789815799999998,-3.2552805,-20.681078,7.208035
157,157,244,647168,375,50,-5.726514860000001,-4.6357205,-23.806545,5.850042
158,158,244,651264,375,50,-3.6103768599999997,-3.195614,-23.427202,6.822056
159,159,244,655360,375,50,-1.6605912599999997,-2.6411059999999997,-17.821318,95.115168
160,160,244,659456,375,50,-3.55673484,-1.9430445,-18.213651,8.426768
161,161,244,663552,375,50,-3.77991548,-2.5846324999999997,-17.526448,7.316754
162,162,244,667648,375,50,-3.0857055799999995,-3.5856065,-27.933409,7.282126
163,163,244,671744,375,50,-2.8139630999999996,-0.6633249999999999,-19.480422,8.068601
164,164,244,675840,374,50,-1.8665663000000003,-1.388688,-16.057293,7.943392
165,165,244,679936,374,50,-4.373485,-4.714567000000001,-18.324707,6.874553
166,166,244,684032,374,50,-1.38774284,-2.2328725,-16.421391,97.128811
167,167,244,688128,374,50,-1.5368036,-0.8782844999999999,-16.630085,7.746494
168,168,244,692224,374,50,-4.146798099999999,-4.0821835,-15.854602,6.659482
169,169,244,696320,374,50,-3.67474574,-1.9523845,-21.648836,7.517538
170,170,244,700416,374,50,-2.57069594,-4.06403,-17.823115,95.823265
171,171,244,704512,374,50,-5.599871500000001,-5.842214,-20.895441,7.345281
172,172,244,708608,374,50,-4.189070039999999,-4.740195,-20.452934,7.983766
173,173,244,712704,374,50,-3.3806482599999996,-1.678124,-21.281183,7.114755
174,174,244,716800,374,50,-1.1812255599999995,-5.9814715,-21.27322,99.18586
175,175,244,720896,374,50,-3.8294354599999996,-4.0461925,-21.593492,7.572383
176,176,244,724992,374,50,-4.4337127800000005,-3.072719,-15.682471,7.053109
177,177,244,729088,373,50,-5.499770020000001,-5.2329954999999995,-26.461172,8.177454
178,178,244,733184,373,50,-3.9332243,-3.2690035,-29.932606,8.043013
179,179,244,737280,373,50,-3.4041135600000003,-3.1383035,-17.484678,7.501987
180,180,244,741376,373,50,-4.72713724,-3.119978,-24.67303,7.817224
181,181,244,745472,373,50,-4.610495319999999,-4.8029980000000005,-21.004201,7.954061
182,182,244,749568,374,50,-5.451087339999999,-5.9752185,-20.760352,6.530313
183,183,244,753664,374,50,-5.02603546,-4.805497,-17.996095,7.736285
184,184,244,757760,374,50,-3.91593142,-2.9342379999999997,-15.930935,6.854964
185,185,244,761856,374,50,-2.96098534,-2.182753,-15.258513,7.907559
186,186,244,765952,374,50,-4.499832359999999,-4.931243500000001,-20.854858,6.967827
187,187,244,770048,374,50,-0.7549509000000001,-2.1741070000000002,-14.961395,93.949815
188,188,244,774144,374,50,-4.18202922,-3.6197925,-20.931788,6.14302
189,189,244,778240,374,50,-3.3962747,-3.0298445,-17.924693,6.151798
190,190,244,782336,374,50,-4.737081819999999,-4.5219775,-23.231666,7.15483
